Data Table for Age-Adjusted Rates of COVID-19-Associated Hospitalizations by Vaccination Status in Adults
Date generated: Sat Apr 30 2022 18:24:23 GMT-0400 (Eastern Daylight Time)
Week ending,Rate in unvaccinated,Rate in fully vaccinated
2021-01-30,15.2,0.3
2021-02-06,15.2,1.3
2021-02-13,11.3,1.5
2021-02-20,9.8,1.9
2021-02-27,9.6,1.9
2021-03-06,10,1
2021-03-13,10,1.7
2021-03-20,12.7,1.3
2021-03-27,14.1,1
2021-04-03,17.1,1.3
2021-04-10,20.1,1.4
2021-04-17,23.5,1.1
2021-04-24,24.5,1.4
2021-05-01,26.2,1.5
2021-05-08,23.5,1
2021-05-15,19.3,1
2021-05-22,17.4,1.2
2021-05-29,12.5,0.9
2021-06-05,10.5,0.5
2021-06-12,8.1,0.7
2021-06-19,7.1,0.6
2021-06-26,6.7,0.6
2021-07-03,6.2,0.6
2021-07-10,8.4,0.8
2021-07-17,12.5,0.9
2021-07-24,17.6,1.2
2021-07-31,24.9,2
2021-08-07,33.5,2.5
2021-08-14,41.1,4
2021-08-21,52,3.7
2021-08-28,57.4,4.8
2021-09-04,54.7,3.5
2021-09-11,60.6,4.2
2021-09-18,46.2,3.4
2021-09-25,46.1,4
2021-10-02,44.6,4.3
2021-10-09,45.7,4.2
2021-10-16,44.3,4.1
2021-10-23,37.6,3.5
2021-10-30,41.2,3.7
2021-11-06,48.2,3.9
2021-11-13,52.2,4.9
2021-11-20,56.9,5
2021-11-27,62.9,4.1
2021-12-04,66.1,4.2
2021-12-11,74.4,4.6
2021-12-18,74.6,5.1
2021-12-25,76.2,6.7
2022-01-01,113.5,15
2022-01-08,150,23.3
2022-01-15,144.3,21.1
2022-01-22,119.6,19.6
2022-01-29,102.1,15.2
2022-02-05,70.9,11.4
2022-02-12,51.2,9
2022-02-19,32.5,6.4
2022-02-26,24.6,5.1
