Data Table for Age-Adjusted Rates of COVID-19-Associated Hospitalizations by Vaccination and Additional or Booster Dose Status in Adults Aged ≥18 Years
Date generated: Sun May 01 2022 00:56:32 GMT-0400 (Eastern Daylight Time)
Week ending,Rate in fully vaccinated with additional or booster,Rate in fully vaccinated without additional or booster,Rate in unvaccinated
2021-10-30,0.9,4.3,41.2
2021-11-06,1.4,4.6,48.2
2021-11-13,0.8,6.2,52.2
2021-11-20,1.1,6.9,56.9
2021-11-27,1.3,5.9,62.9
2021-12-04,2.1,5.6,66.1
2021-12-11,1.5,7.2,74.4
2021-12-18,1.5,8.5,74.6
2021-12-25,2.4,10.8,76.2
2022-01-01,5.8,25,113.5
2022-01-08,10.9,36.9,150
2022-01-15,11.7,33.7,144.3
2022-01-22,11.7,32.7,119.6
2022-01-29,8,25.8,102.1
2022-02-05,8.3,16.7,70.9
2022-02-12,6.6,13.1,51.2
2022-02-19,4.6,9.3,32.5
2022-02-26,3.9,7.5,24.6
