Data Table for Rates of COVID-19-Associated Hospitalizations by Vaccination Status in Adults
Date generated: Sun May 01 2022 00:27:35 GMT-0400 (Eastern Daylight Time)
Week ending,Age group,Rate in unvaccinated,Rate in fully vaccinated
2021-01-30,18-49 yr,6.3,0
2021-01-30,50-64 yr,20.9,1.3
2021-01-30,65+ yr,33.6,0
2021-02-06,18-49 yr,6.1,0
2021-02-06,50-64 yr,15.7,0
2021-02-06,65+ yr,41,6.5
2021-02-13,18-49 yr,5.1,0.5
2021-02-13,50-64 yr,12.8,0.5
2021-02-13,65+ yr,27.2,5.5
2021-02-20,18-49 yr,4.5,0.2
2021-02-20,50-64 yr,12.8,1.4
2021-02-20,65+ yr,21.6,7.8
2021-02-27,18-49 yr,4.6,0.4
2021-02-27,50-64 yr,11.4,1
2021-02-27,65+ yr,22.1,7.1
2021-03-06,18-49 yr,4.2,0.2
2021-03-06,50-64 yr,14.8,1.3
2021-03-06,65+ yr,20.9,2.9
2021-03-13,18-49 yr,5.2,0.3
2021-03-13,50-64 yr,11.3,2.9
2021-03-13,65+ yr,22.4,4.3
2021-03-20,18-49 yr,4.5,0.4
2021-03-20,50-64 yr,11.8,1.2
2021-03-20,65+ yr,37.4,4.1
2021-03-27,18-49 yr,6.2,0.4
2021-03-27,50-64 yr,17.1,1.5
2021-03-27,65+ yr,33,2.1
2021-04-03,18-49 yr,7.5,0.1
2021-04-03,50-64 yr,19.2,1.3
2021-04-03,65+ yr,42.4,4.9
2021-04-10,18-49 yr,9.2,0.3
2021-04-10,50-64 yr,21.2,1.1
2021-04-10,65+ yr,50.2,4.8
2021-04-17,18-49 yr,9,0.5
2021-04-17,50-64 yr,34.8,0.8
2021-04-17,65+ yr,51.2,3.3
2021-04-24,18-49 yr,11.9,0.3
2021-04-24,50-64 yr,29.7,0.7
2021-04-24,65+ yr,54.4,5.5
2021-05-01,18-49 yr,13,0.4
2021-05-01,50-64 yr,25.5,1.1
2021-05-01,65+ yr,65.4,5.4
2021-05-08,18-49 yr,10,0.2
2021-05-08,50-64 yr,26.8,1
2021-05-08,65+ yr,58.5,3.3
2021-05-15,18-49 yr,9.6,0.4
2021-05-15,50-64 yr,25.9,0.7
2021-05-15,65+ yr,39.4,2.9
2021-05-22,18-49 yr,7.6,0.6
2021-05-22,50-64 yr,20,1.1
2021-05-22,65+ yr,42.6,3.1
2021-05-29,18-49 yr,6.8,0.4
2021-05-29,50-64 yr,14.2,1.2
2021-05-29,65+ yr,26.5,1.9
2021-06-05,18-49 yr,4.8,0.2
2021-06-05,50-64 yr,14.2,0.4
2021-06-05,65+ yr,22.7,1.7
2021-06-12,18-49 yr,4.9,0.3
2021-06-12,50-64 yr,9.1,0.6
2021-06-12,65+ yr,16.2,2.1
2021-06-19,18-49 yr,3.7,0.4
2021-06-19,50-64 yr,8.2,0.5
2021-06-19,65+ yr,15.5,1.7
2021-06-26,12-17 yr,0.1,0
2021-06-26,18-49 yr,3.4,0.3
2021-06-26,50-64 yr,8.2,0.6
2021-06-26,65+ yr,14.5,1.2
2021-07-03,12-17 yr,0.7,0
2021-07-03,18-49 yr,3.5,0.3
2021-07-03,50-64 yr,8.3,0.7
2021-07-03,65+ yr,11.2,1.2
2021-07-10,12-17 yr,0.7,0.3
2021-07-10,18-49 yr,5.2,0.3
2021-07-10,50-64 yr,10.3,1
2021-07-10,65+ yr,15,2.1
2021-07-17,12-17 yr,0.9,0
2021-07-17,18-49 yr,6.5,0.3
2021-07-17,50-64 yr,14.4,0.9
