date,Israel,Italy,Iran,India,Brazil,US,Russia,France,Mexico,Sweden,UK,Denmark,Australia,China
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1/22/2020,null,null,null,null,null,1,null,null,null,null,null,null,null,548
1/23/2020,null,null,null,null,null,1,null,null,null,null,null,null,null,641
1/24/2020,null,null,null,null,null,2,null,2,null,null,null,null,null,918
1/25/2020,null,null,null,null,null,2,null,3,null,null,null,null,null,1401
1/26/2020,null,null,null,null,null,5,null,3,null,null,null,null,4,2067
1/27/2020,null,null,null,null,null,5,null,3,null,null,null,null,5,2869
1/28/2020,null,null,null,null,null,5,null,4,null,null,null,null,5,5501
1/29/2020,null,null,null,null,null,6,null,5,null,null,null,null,6,6077
1/30/2020,null,null,null,1,null,6,null,5,null,null,null,null,9,8131
1/31/2020,null,2,null,1,null,8,2,5,null,null,2,null,9,9790
2/1/2020,null,2,null,1,null,8,2,6,null,1,2,null,12,11878
2/2/2020,null,2,null,2,null,8,2,6,null,1,2,null,12,16615
2/3/2020,null,2,null,3,null,11,2,6,null,1,8,null,12,19701
2/4/2020,null,2,null,3,null,11,2,6,null,1,8,null,13,23690
2/5/2020,null,2,null,3,null,11,2,6,null,1,9,null,13,27419
2/6/2020,null,2,null,3,null,12,2,6,null,1,9,null,14,30563
2/7/2020,null,3,null,3,null,12,2,6,null,1,9,null,15,34085
2/8/2020,null,3,null,3,null,12,2,11,null,1,13,null,15,36788
2/9/2020,null,3,null,3,null,12,2,11,null,1,14,null,15,39800
2/10/2020,null,3,null,3,null,12,2,11,null,1,14,null,15,42316
2/11/2020,null,3,null,3,null,13,2,11,null,1,15,null,15,44337
2/12/2020,null,3,null,3,null,13,2,11,null,1,16,null,15,44709
2/13/2020,null,3,null,3,null,14,2,11,null,1,17,null,15,59842
2/14/2020,null,3,null,3,null,14,2,11,null,1,18,null,15,66302
2/15/2020,null,3,null,3,null,14,2,12,null,1,18,null,15,68357
2/16/2020,null,3,null,3,null,14,2,12,null,1,18,null,15,70456
2/17/2020,null,3,null,3,null,14,2,12,null,1,19,null,15,72374
2/18/2020,null,3,null,3,null,14,2,12,null,1,19,null,15,74149
2/19/2020,null,3,2,3,null,14,2,12,null,1,20,null,15,74556
2/20/2020,null,3,5,3,null,14,2,12,null,1,22,null,15,75009
2/21/2020,1,20,18,3,null,16,2,12,null,1,23,null,15,75482
2/22/2020,1,62,28,3,null,16,2,12,null,1,23,null,15,76932
2/23/2020,1,155,43,3,null,16,2,12,null,1,28,null,15,76948
