DAY,Date for China,Australia,Brazil,China,Denmark,France,Germany,India,Iran,Italy,Mexico,Norway,Philippines,Russia,Spain,S Korea,Sweden,UK,US
1,1/27/2020,60,77,82,65,79,67,72,66,79,60,62,68,63,133,60,60,65,70
2,1/28/2020,61,92,131,72,91,84,72,77,107,79,71,71,76,195,66,81,82,97
3,1/29/2020,62,111,133,77,91,94,86,92,148,94,76,78,94,289,66,103,116,134
4,1/30/2020,63,136,171,90,148,123,99,107,197,125,89,88,106,342,72,134,162,194
5,1/31/2020,63,159,213,104,148,157,136,124,233,141,101,96,130,533,75,166,194,266
6,2/1/2020,66,201,259,123,148,206,150,145,366,174,108,107,148,623,75,201,252,372
7,2/2/2020,67,240,361,139,243,267,178,194,463,194,113,136,170,830,81,239,288,475
8,2/3/2020,67,324,425,161,450,342,226,237,631,233,119,144,198,1043,84,284,364,603
9,2/4/2020,67,359,491,179,562,433,246,291,827,273,128,152,232,1375,91,332,512,790
10,2/5/2020,67,445,563,187,674,533,288,354,1016,296,134,163,273,1772,94,385,703,1033
11,2/6/2020,67,486,633,203,860,645,331,429,1266,332,139,177,313,2311,102,455,884,1366
12,2/7/2020,75,564,718,218,1100,775,358,514,1441,406,150,182,361,2808,111,535,1172,1783
13,2/8/2020,79,686,805,237,1331,920,393,611,1809,449,152,203,405,3647,111,605,1464,2305
14,2/9/2020,80,819,905,247,1695,1107,405,724,2158,486,161,221,456,4365,120,373,1676,3018
15,2/10/2020,83,950,1012,260,1994,1275,448,853,2503,546,164,247,513,5138,126,401,2050,3573
16,2/11/2020,83,1057,1112,273,2311,1444,486,988,2978,650,165,297,555,5982,131,477,2453,4280
17,2/12/2020,89,1124,1117,285,2603,1584,521,1135,3405,686,181,315,615,6803,139,591,3125,5359
18,2/13/2020,91,1223,1369,299,3020,1810,559,1284,4032,712,182,335,681,7716,144,687,3782,6635
19,2/14/2020,93,1328,1521,309,3517,2016,592,1433,4825,857,187,349,747,8464,152,793,4518,8146
20,2/15/2020,93,1532,1663,321,4767,2349,645,1556,5476,970,194,362,794,9387,158,870,5274,9566
21,2/16/2020,94,1736,1766,336,5376,2607,681,1685,6077,1069,199,387,867,10348,162,887,5873,11172
22,2/17/2020,95,1924,1864,346,6496,2767,721,1812,6820,1221,201,397,972,11198,165,899,6440,12790
23,2/18/2020,96,2141,2003,355,7548,2736,780,1934,7503,1305,201,409,1073,11947,169,919,7545,14523
